modal,data,loss,pix_acc,mean_iou,freq_iou
unetplusplus,water_BW_23,"(29.68, 12.1)","(67.09, 4.02)","(11.24, 5.1)","(19.31, 9.23)"
unetplusplus,water_BW_24,"(33.28, 14.52)","(66.96, 5.08)","(13.65, 5.31)","(24.45, 11.37)"
unetplusplus,water_BW_25,"(33.11, 14.1)","(67.11, 5.35)","(10.9, 4.34)","(20.99, 9.63)"
unetplusplus,water_BW_26,"(32.81, 16.57)","(67.01, 4.64)","(12.28, 5.15)","(21.18, 9.91)"
unetplusplus,water_BW_27,"(36.58, 16.79)","(66.83, 4.85)","(12.77, 4.76)","(22.06, 10.57)"
unetplusplus,water_BW_28,"(35.27, 16.62)","(66.82, 6.13)","(13.27, 7.2)","(23.08, 12.93)"
unetplusplus,water_BW_29,"(36.16, 22.91)","(67.14, 5.03)","(13.69, 6.96)","(23.57, 12.48)"
unetplusplus,water_BW_30,"(36.83, 16.6)","(66.94, 4.66)","(11.83, 5.07)","(21.04, 9.77)"
unetplusplus,water_BW_31,"(36.62, 14.66)","(67.06, 4.53)","(14.18, 5.82)","(24.93, 12.66)"
unetplusplus,water_BW_32,"(33.74, 12.9)","(66.95, 4.28)","(13.15, 5.45)","(21.49, 10.0)"
unetplusplus,water_BW_33,"(41.85, 16.22)","(67.05, 5.14)","(14.61, 6.19)","(26.63, 12.25)"
unetplusplus,water_BW_34,"(37.92, 18.88)","(67.03, 4.67)","(13.72, 6.47)","(23.4, 11.73)"
unetplusplus,water_BW_35,"(38.14, 20.21)","(67.11, 5.17)","(15.59, 6.94)","(27.58, 12.65)"
unetplusplus,water_BW_36,"(40.35, 24.62)","(67.02, 4.46)","(13.68, 5.53)","(23.36, 10.81)"
unetplusplus,water_BW_37,"(37.51, 18.52)","(67.0, 4.31)","(14.36, 6.15)","(24.62, 12.08)"
unetplusplus,water_BW_38,"(42.89, 18.19)","(67.05, 4.91)","(14.66, 5.76)","(26.82, 12.56)"
unetplusplus,water_BW_39,"(45.05, 31.51)","(67.07, 4.2)","(13.85, 5.11)","(23.6, 10.85)"
unetplusplus,water_BW_40,"(45.55, 27.4)","(67.0, 4.2)","(14.34, 5.99)","(25.09, 12.8)"
unetplusplus,forest_BW_1,"(38.98, 9.24)","(35.18, 7.63)","(17.0, 7.86)","(25.79, 11.64)"
